electricity_always_on,electricity_refrigeration,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
10.3163,6.3649,3.8915,9.7888,8.9834,38.8213,15.4109,93.57700000000001,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7th
13.8815,20.6903,1.3823,5.5175,10.6531,25.22300000000001,4.4888,82.853,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9th
23.2212,0.0,11.5442,2.2773,11.0382,14.7668,4.0283,66.8762,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2th
70.4961,0.0,34.1856,3.1934,31.0586,34.6265,16.2003,189.76,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,3th
82.1272,0.0,31.9172,2.0025,20.3533,33.6474,15.6188,185.666,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,4th
63.2958,40.4618,38.7128,4.2324,19.9802,42.4539,20.182000000000002,229.31900000000002,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,5th
65.4498,48.8372,71.4051,18.3921,34.6846,79.8717,44.5936,363.23400000000004,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,6th
75.8647,55.0642,55.1035,10.3871,24.5797,64.1973,33.2674,318.464,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,7th
119.382,31.6703,60.6241,5.9805,34.1024,68.9005,34.4149,355.075,PT.02,3,PA.01,OWN.01,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,8th
13.2341,0.0,10.5295,22.2894,24.8654,37.5816,2.9551,111.455,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2th
18.6086,0.0,12.1431,15.2061,24.3651,42.1482,5.4979999999999976,117.969,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3th
23.3709,0.0,8.8814,10.8328,12.0979,32.7159,4.1259,92.0249,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4th
8.8588,4.6499,1.6206,5.1198,1.7287,14.255999999999998,0.366,36.5998,PT.02,4,PA.04,OWN.01,3,OT.04,other,electric,electric,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5th
25.963,0.0,30.1745,12.722999999999999,21.0262,25.5828,16.8066,132.276,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2th
52.4419,0.0,55.542,23.0093,38.0914,50.9074,34.0521,254.044,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3th
47.2756,0.0,59.033,22.447,33.4549,58.2487,40.9076,261.367,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,4th
46.5758,19.2103,53.6269,22.5985,24.4053,52.3385,35.4663,254.22099999999998,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,5th
60.3241,23.5735,59.9177,25.9458,18.5466,60.358000000000004,41.1252,289.791,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,6th
19.6894,7.6054,21.0122,9.9436,6.7245,23.5341,16.5608,105.07,PT.06,1,PA.02,OWN.02,2,OT.02,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,7th
19.0562,0.0,16.395,3.7956,17.2919,18.3003,8.56,83.399,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2th
21.0533,0.0,9.927,3.4505,9.9386,16.4076,4.7963,65.5734,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3th
59.8622,0.0,35.7288,10.9822,26.506999999999998,44.6922,21.4274,199.2,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,4th
0.7251,0.3753,0.0,0.0,0.0,0.0,5.3565,6.4569,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,5th
58.0269,22.6447,21.8144,1.665,2.67,29.7051,5.6771,254.96599999999998,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,6th
54.1592,25.7551,7.3297,1.6083,1.876,14.52,1.7915,179.148,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,7th
47.5512,23.2999,13.6889,1.665,3.0413,19.6809,1.9362,193.61700000000002,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,8th
79.7831,0.0,58.9439,8.9724,64.2245,63.982,23.6048,299.51099999999997,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2th
96.1728,0.0,66.7137,11.7966,68.4206,79.0231,31.4057,353.533,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3th
88.9607,0.0,65.9872,15.6339,49.3816,80.0616,34.9445,334.97,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4th
90.3063,29.6479,54.7964,10.7154,31.7216,70.3163,27.8366,315.341,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5th
86.1622,32.6111,58.1876,19.9752,26.0491,76.9227,32.1862,332.094,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6th
98.48700000000001,31.3238,53.1109,15.349,23.4713,73.1615,29.4656,324.369,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7th
48.5748,13.8183,47.416000000000004,13.2285,31.3272,61.1734,28.3228,243.861,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8th
35.2054,20.3636,13.797,11.4287,43.7366,61.7168,3.1332,189.38099999999997,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2th
40.0237,23.2936,9.631,11.5905,32.144,55.4701,1.7389,173.892,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3th
37.7783,23.9321,9.7072,8.4507,18.0963,50.3426,3.4101,151.717,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4th
19.73,9.4591,0.0,0.0,0.0,0.0,19.887,49.076,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5th
69.3377,23.9438,42.795,27.0756,71.9584,99.6917,15.8801,350.68199999999996,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2th
100.867,32.4238,43.9633,55.5765,72.3193,121.14200000000001,15.5451,441.837,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3th
92.7537,34.8571,45.6294,46.8163,48.2117,119.051,21.3751,408.695,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4th
90.6487,42.7119,54.131,54.8674,44.9766,138.113,29.4341,454.88199999999995,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5th
96.7033,44.2697,36.1004,50.6651,18.8351,106.39299999999999,17.7851,370.75199999999995,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6th
83.3342,46.4691,33.3371,37.2087,18.9634,98.2033,18.0132,335.529,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,7th
30.8966,19.3637,49.99800000000001,24.158,41.6708,108.677,34.7334,309.498,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8th
19.4041,14.1748,10.0803,14.7854,23.4346,44.8249,3.8608,130.565,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2th
28.318,17.8067,14.3274,22.0807,29.4802,65.2616,7.3398,184.615,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3th
15.75,10.413,9.6485,23.4404,12.7998,43.5421,5.5378,121.132,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4th
13.6133,16.1904,21.1553,31.2262,21.1439,76.5294,15.3115,195.17,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5th
30.5537,40.2761,8.5295,25.8936,4.0577,57.7507,4.0618,171.123,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6th
58.7201,59.7455,4.1686,4.7586,2.0739,30.2897,1.6137,161.37,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8th
68.6691,14.9,7.5602,11.1627,25.859,66.8537,1.9697,196.975,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,2th
88.2719,21.413,9.7877,5.565,33.9746,96.7904,2.5839,258.387,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,3th
91.2678,19.9424,10.9244,11.1436,17.9982,96.2888,2.5007,250.06599999999997,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,4th
88.1465,20.0943,23.2834,22.287,22.6325,133.366,8.3296,318.139,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,5th
104.48100000000001,22.0026,8.6459,20.0665,2.6024,99.941,2.6034,260.343,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,6th
39.6539,14.2568,20.9442,9.7675,14.9737,94.1356,12.9294,206.66099999999997,PT.04,4,PA.03,OWN.01,4,OT.04,other,electric,electric,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,7th
47.95399999999999,37.6451,25.5751,30.5267,93.8005,139.753,3.7904,379.045,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2th
30.8785,17.9158,12.3115,13.0303,40.1395,71.0525,2.7622,188.09,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3th
35.8605,40.9546,15.9327,41.4775,34.0786,102.829,3.2194,274.35200000000003,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,4th
1.0914,1.3032,12.635,4.876,14.9243,39.4184,9.1467,83.395,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,5th
93.6779,79.0064,23.6165,51.3107,18.6675,167.00799999999995,7.1114,440.398,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,6th
124.958,28.0521,7.1888,4.505,3.1355,84.1175,2.545,254.502,PT.02,4,PA.02,OWN.01,3,OT.02,other,electric,electric,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,7th
