electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
61.21304859342656,20.704999329848544,0.0,0.0,0.0,0.0,0.0,0.0,18.081952076724896,100.0,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,8th
28.43438919926725,10.020404571145457,0.0,8.981661962098343,3.468516333435464,9.966622554548001,37.15620253329595,0.0,1.972202846209508,100.0,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,9th
8.369086180319298,29.280121688702376,6.780885638424294,6.159811491161951,7.46973061435139,14.787350350737807,25.965734308472715,0.0,1.187279727830179,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2th
7.413759591605719,24.391925509117605,4.689664108905142,8.434745297561346,6.112222856535128,15.2597755836256,29.23818476760718,0.0,4.459722285042291,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3th
10.492246897794631,22.24039439274485,3.3907249364127123,9.503096005092495,6.613629036036012,11.127155285254087,30.705563990994445,0.0,5.927189455670774,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4th
4.717266210177773,9.20026039155174,8.52621596425242,13.694425691966439,6.042209149066126,11.99995177934227,35.29583373517215,0.0,10.523435239656669,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5th
15.515851607375202,29.357525943321377,0.0,8.895782425184857,3.49084446701152,5.717844562216371,30.89627431690521,0.0,6.125797340611215,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6th
59.070643769838036,24.374298038577354,0.0,0.0,0.0,0.0,0.0,0.0,16.5550581915846,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7th
49.25894392844857,48.753869969040245,0.0,0.0,0.0,0.0,0.0,0.0,1.9871861025111799,100.0,PT.06,2,PA.02,OWN.01,1,OT.02,other,electric,electric,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8th
14.18464320462296,0.0,17.388479946537203,3.0832506166894347,3.6132595599146957,23.912317081560246,31.417550342496043,0.0,6.4003026937780705,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2th
19.236956309872557,0.0,8.669345823324715,2.6258792774303026,11.735738077084038,20.339614637138613,31.204875224298156,0.0,6.187590650851617,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3th
19.778703518567788,0.0,7.208990665294028,4.354378421610116,12.166844856162244,15.445972228877935,33.031209876380004,0.0,8.013900433107885,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4th
30.73255039147093,40.95313454383919,0.0,0.0,0.0,0.0,0.0,0.0,28.314315064689875,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5th
25.326053472982014,36.512890239109424,0.0,0.6458397510117801,1.9352885565269116,3.9982579322505596,28.30350219351823,0.0,3.278274078244335,100.0,PT.06,3,PA.03,OWN.02,3,OT.02,other,other,other,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6th
