household_id,month,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
128,6,56.5756,16.015,0.0,0.0,9.3727,4.664,5.9343,47.7005,0.0,0,3.2929,143.555,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
128,7,54.4655,16.9648,0.0,0.0,8.6265,2.8382,1.9074,47.6438,0.0,0,1.3378,133.784,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
128,8,82.2079,27.8064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.2837,134.298,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
128,9,43.6175,15.370999999999999,0.0,0.0,13.7776,5.3206,15.2885,56.9965,0.0,0,3.0253,153.39700000000002,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
139,7,33.1051,18.145,0.0,0.0,16.344,7.1064,11.9038,49.5253,0.0,0,12.6676,148.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,8,21.3791,8.3049,0.0,0.0,15.9092,5.3457,14.4408,42.3846,0.0,0,12.5758,120.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,9,17.2292,11.6294,0.0,0.0,8.6064,4.6,10.3328,27.0413,0.0,0,5.9019,85.34100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2,6.1622,21.5591,4.9928,0.0,4.5355,5.5,10.888,19.1187,0.0,0,0.8742,73.6305,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,3,6.0647,19.9534,3.8363,0.0,6.8999,5.0,12.482999999999999,23.9178,0.0,0,3.6482,81.8033,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,4,7.615,16.1415,2.4609,0.0,6.8971,4.8,8.0758,22.2853,0.0,0,4.3018,72.5774,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,5,5.8696,11.4477,10.609000000000002,0.0,17.0397,7.5182,14.9313,43.9179,0.0,0,13.0941,124.428,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,6,19.5568,37.0034,0.0,0.0,11.2126,4.4,7.207000000000001,38.9429,0.0,0,7.7212,126.044,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,7,72.5801,29.9487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.3412,122.87,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
143,8,57.2783,56.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3107,116.28,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
155,2,14.4333,0.0,17.6933,0.0,3.1373,3.6766,24.3315,31.9683,0.0,0,6.5125,101.75299999999999,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,3,16.7778,0.0,7.5611,0.0,2.2902,10.2355,17.7395,27.2158,0.0,0,5.3966,87.2165,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,4,11.9693,0.0,4.3626,0.0,2.6351,7.3629,9.3473,19.9892,0.0,0,4.8497,60.5161,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,5,4.4277,5.9002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0793,14.4072,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,6,23.8422,34.3736,0.0,0.0,0.608,1.8219,3.764,26.6452,0.0,0,3.0862,94.141,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,7,10.3163,6.3649,0.0,0.0,3.8915,9.7888,8.9834,38.8213,0.0,0,15.4109,93.57700000000001,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
155,9,13.8815,20.6903,1.0164,0.0,1.3823,5.5175,10.6531,25.223000000000003,0.0,0,4.4888,82.853,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
170,7,106.853,38.3852,0.0,0.0,39.2951,15.3035,16.4376,46.0773,0.0,0,28.078000000000003,290.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,8,51.3632,20.0395,0.0,0.0,50.055,23.6664,34.2139,61.7239,0.0,0,44.053999999999995,285.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,9,4.3272,3.5881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.2316,14.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2,23.2212,0.0,0.0,0.0,11.5442,2.2773,11.0382,14.7668,0.0,0,4.0283,66.8762,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,3,70.4961,0.0,0.0,0.0,34.1856,3.1934,31.0586,34.6265,0.0,0,16.2003,189.76,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,4,82.1272,0.0,0.0,0.0,31.9172,2.0025,20.3533,33.6474,0.0,0,15.6188,185.666,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,5,63.2958,40.4618,0.0,0.0,38.7128,4.2324,19.9802,42.4539,0.0,0,20.182000000000002,229.31900000000002,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,6,65.4498,48.8372,0.0,0.0,71.4051,18.3921,34.6846,79.8717,0.0,0,44.5936,363.23400000000004,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,7,75.8647,55.0642,0.0,0.0,55.1035,10.3871,24.5797,64.1973,0.0,0,33.2674,318.464,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,8,119.382,31.6703,0.0,0.0,60.6241,5.9805,34.1024,68.9005,0.0,0,34.4149,355.075,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
178,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
200,2,13.2341,0.0,0.0,0.0,10.5295,22.2894,24.8654,37.5816,0.0,0,2.9551,111.455,PT.02,PS.04,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200,3,18.6086,0.0,0.0,0.0,12.1431,15.2061,24.3651,42.1482,0.0,0,5.497999999999999,117.969,PT.02,PS.04,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200,4,23.3709,0.0,0.0,0.0,8.8814,10.8328,12.0979,32.7159,0.0,0,4.1259,92.0249,PT.02,PS.04,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200,5,8.8588,4.6499,0.0,0.0,1.6206,5.1198,1.7287,14.255999999999998,0.0,0,0.366,36.5998,PT.02,PS.04,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
201,2,25.963,0.0,0.0,0.0,30.1745,12.722999999999999,21.0262,25.5828,0.0,0,16.8066,132.276,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
