electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
19.91375663025131,9.729467932074161,0.0,0.0,3.98051118068576,8.849887992731773,3.8199822747941328,52.58151145235349,0.0,0.0,1.1248602692628005,100.0,3th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21.270033499778776,11.984425763226094,0.0,0.0,3.822160419695342,9.088679603059227,2.5839833133177423,50.12932178749764,0.0,0.0,1.1214208962771002,100.0,4th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
22.813148651335407,10.435999734906222,0.0,0.0,3.6718404135462923,9.556100470541454,1.9719795877791768,50.42640334018158,0.0,0.0,1.124554311087547,100.0,5th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
26.2051694782104,12.574414257268273,0.0,0.0,3.3777323170946776,6.244192273037717,1.2287530982559984,49.3694467869522,0.0,0.0,1.0001955949453134,100.0,6th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
39.134736562318125,17.81537136074717,0.0,0.0,3.278065725375898,2.428841809074703,1.2320185508521568,8.949640485585054,26.16128426156335,0.0,1.0000412444835505,100.0,7th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23.732449886773463,13.017529145349323,0.0,0.0,3.5177388241214453,20.370264754396263,1.97198691604462,36.25793284687858,0.0,0.0,1.1319578405882187,100.0,8th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
19.16752931101792,11.571599481154054,0.0,0.0,3.6679134081378217,16.44089312025388,2.583953555731862,45.44108202047678,0.0,0.0,1.1269031697457401,100.0,9th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
17.8554011624023,7.792583839935867,0.0,0.0,3.6167036876210834,22.447224263477853,2.6439850691428948,44.51220021377513,0.0,0.0,1.131901763644866,100.0,10th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
17.02031320404241,9.874516078604467,0.0,0.0,5.706014878571363,3.975465989866387,23.034934297038077,39.38885670409299,0.0,0.0,1.000009195655972,100.0,10th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
17.9745520838003,7.923036117212832,0.0,0.0,3.7291732042258783,15.765641577382286,3.0599886433257124,50.427743159845186,0.0,0.0,1.120014644132634,100.0,11th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
