Id,eui64,appliance_type,usage_in_kwh,usage_frequency,score,household_id,period_first,period_last,snapshot_taken_at,calculated_until,seconds_of_data_missing,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
16,9574384526952505694,Oven,33.5885,23,-55,7,2016-02-01,2016-02-29,1468333797,1456786800,726309,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
17,9574384526952505694,Oven,89.813,54,-192,7,2016-03-01,2016-03-31,1468333797,1459461600,154477,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
18,9574384526952505694,Oven,59.25,49,-89,7,2016-04-01,2016-04-30,1468333797,1462053600,14975,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
19,9574384526952505694,Oven,44.3031,44,-36,7,2016-05-01,2016-05-31,1468333797,1464732000,11118,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
20,9574384526952505694,Oven,44.245,38,-47,7,2016-06-01,2016-06-30,1468333797,1467324000,117124,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
21,9574384526952505694,Oven,6.57124,6,61,7,2016-07-01,2016-07-31,1468333797,1470002400,1281356,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
22,9574384526952505694,Oven,5.95716,4,43,7,2016-08-01,2016-08-31,1470103394,1470866400,0,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0
23,9574384526952505694,Refrigeration,37.1241,2,65,7,2016-02-01,2016-02-29,1468333797,1456786800,726309,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
24,9574384526952505694,Refrigeration,25.9921,2,88,7,2016-03-01,2016-03-31,1468333797,1459461600,154477,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
25,9574384526952505694,Refrigeration,39.8714,1,77,7,2016-04-01,2016-04-30,1468333797,1462053600,14975,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
26,9574384526952505694,Refrigeration,31.621,1,85,7,2016-05-01,2016-05-31,1468333797,1464732000,11118,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
27,9574384526952505694,Refrigeration,24.6179,1,89,7,2016-06-01,2016-06-30,1468333797,1467324000,117124,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
28,9574384526952505694,Refrigeration,15.0081,4,87,7,2016-07-01,2016-07-31,1468333797,1470002400,1281356,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
29,9574384526952505694,Refrigeration,6.5469,1,94,7,2016-08-01,2016-08-31,1470103394,1470866400,0,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0
30,9574384526952505694,WashingMachine,1.927,9,103,7,2016-02-01,2016-02-29,1468333797,1456786800,726309,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
31,9574384526952505694,WashingMachine,2.2304,9,105,7,2016-03-01,2016-03-31,1468333797,1459461600,154477,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0
