,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
480,83.3876,38.4826,0.0,0.0,15.1847,21.3113,43.4027,64.5182,0.0,0,2.6898,268.97700000000003,PT.02,PS.04,PA.03,OWN.01,OCC.05,OT.05,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3
481,83.2182,36.6577,0.0,0.0,15.9711,25.914,24.1342,63.4559,0.0,0,2.5187,251.87,PT.02,PS.04,PA.03,OWN.01,OCC.05,OT.05,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,4
482,89.3863,29.298,0.0,0.0,6.4176,5.9483,13.4408,52.2679,0.0,0,1.9875,198.746,PT.02,PS.03,PA.02,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.01,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2
483,131.31,48.5261,0.0,0.0,14.281,8.7544,15.7632,128.361,0.0,0,3.7509,350.746,PT.02,PS.03,PA.02,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.01,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5
484,100.484,48.4192,0.0,0.0,6.4821,4.7586,2.2524,86.025,0.0,0,2.5093,250.931,PT.02,PS.03,PA.02,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.01,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6
485,150.605,62.8025,0.0,0.0,7.383999999999999,4.5964,2.6563,64.9276,0.0,0,2.9593,295.931,PT.02,PS.03,PA.02,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.01,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7
486,21.0455,12.3088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.6514,45.0058,PT.04,PS.03,PA.03,OWN.01,OCC.01,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,5
487,40.9056,30.5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.009,84.46600000000002,PT.04,PS.03,PA.03,OWN.01,OCC.01,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,6
488,44.3487,28.9873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.518,86.854,PT.04,PS.03,PA.03,OWN.01,OCC.01,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,7
489,40.5218,44.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.8572,100.205,PT.04,PS.03,PA.03,OWN.01,OCC.01,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,8
